blueprint,spawnpoint_index,road_segment,ego_veh_road_id,ego_veh_lane_id
vehicle.carlamotors.firetruck,218,AE,2,-1
vehicle.carlamotors.firetruck,218,AE,21,1
vehicle.carlamotors.firetruck,218,EA,24,-1
vehicle.carlamotors.firetruck,218,EA,6,1
vehicle.carlamotors.firetruck,86,CJ,22,-1
vehicle.carlamotors.firetruck,86,CJ,23,1
vehicle.carlamotors.firetruck,86,JC,17,-1
vehicle.carlamotors.firetruck,86,JC,18,1
vehicle.carlamotors.firetruck,175,DE,23,-1
vehicle.carlamotors.firetruck,175,DE,12,1
vehicle.carlamotors.firetruck,175,ED,5,-1
vehicle.carlamotors.firetruck,175,ED,6,1
,,,,
,,,,
vehicle.carlamotors.carlacola,72,EA,,
vehicle.mercedes.sprinter,246,JC,,
vehicle.ford.ambulance,169,ED,,
