current_junc,next_junc,road,spawnpoint_index,delta_x,delta_y,delta_yaw,lane_change,instance,instance_location_index
A,E,,122,0,0,,1,construction,72
A,E,,217,0,0,,,,
A,E,,222,0,0,,,,
A,E,,68,0,0,,,,
A,E,,97,0,0,,,,
A,E,,108,0,0,,,,
A,B,,112,0,0,,,pedestrian,
A,B,,238,0,0,,,,
A,B,,238,0,5,,,,
A,F,,203,0,0,,,,
A,F,,201,0,0,,,,
B,A,,113,0,0,,,pedestrian,
B,A,,237,0,0,,,,
B,A,,237,0,-5,,,,
B,G,,114,0,0,,,pedestrian,
B,G,,60,0,0,,,,
B,G,,58,0,0,,,,
B,C,,101,0,0,,,,
B,C,,231,0,0,,,,
B,C,,229,0,0,,,,
C,B,,102,0,0,,,,
C,B,,230,0,0,,,,
C,B,,232,0,0,,,,
C,B,,235,0,0,,,,
C,J,,88,0,0,,1,construction,86
C,J,,245,0,0,,,,
C,J,,247,0,0,,,,
C,J,,249,0,0,,,,
C,J,,131,0,0,,,,
C,J,,1,0,0,,,,
C,D,,225,0,0,,,,
D,C,,104,0,0,,,truck,
D,C,,228,0,0,,,,
D,C,,228,0,5,,,,
,,,84,-1,0,,,,
D,K,,84,0,0,,,,
D,K,,85,0,0,,,,
D,K,,167,0,0,,,,
D,E,,22,0,0,,1,construction,175
,,,11,0,0,,,,
,,,33,0,0,,,,
,,,173,0,0,,,,
D,E,,170,0,0,,,,
D,E,,44,0,5,,,,
E,A,,124,0,0,,1,construction,218
E,A,,97,0,0,,,,
E,A,,223,0,0,,,,
,,,222,0,0,,,,
,,,71,0,0,,,,
E,A,,69,0,0,,,,
E,A,,212,0,0,,,,
,,,83,0,0,,1,construction,169
E,D,,55,0,0,,,,
E,D,,173,0,0,,,,
E,D,,11,0,0,,,,
E,D,,11,0,-5,,,,
E,L,,89,0,0,,,,
E,L,,90,0,0,,,,
E,L,,42,0,0,,,,
,,,42,5,0,,,,
,,,117,0,0,,,,
F,A,,202,0,0,,,,
F,A,,204,0,0,,,,
,,,204,-5,2,,,,
F,G,,110,0,0,,,truck,
F,G,,110,0,10,,,,
F,H,,198,0,0,,,,
F,H,,194,0,0,,,,
F,H,,190,0,0,,,,
F,H,,190,5,0,,,,
G,B,,115,0,0,,,pedestrian,
G,B,,61,0,0,,,,
G,B,,61,-5,0,,,,
,,,111,0,0,,,truck,
G,F,,17,0,0,,,,
,,,17,0,-5,,,,
G,I,,95,0,0,,,pedestrian,
G,I,,141,0,0,,,,
G,I,,3,0,0,,,,
,,,3,5,0,,,,
H,F,,147,0,0,,,,
H,F,,195,0,0,,,,
H,F,,199,0,0,,,,
H,I,,107,0,0,,,,
H,I,,107,0,15,,,,
,,,107,0,10,,,,
H,L,,187,0,0,,,,
H,L,,62,0,0,,,,
H,L,,48,0,0,,,,
I,H,,109,0,-20,,,,
,,,109,0,-5,,,,
,,,109,0,-8,,,,
I,G,,74,0,0,,,pedestrian,
I,G,,142,0,0,,,,
I,G,,13,0,0,,,,
I,G,,13,-5,0,,,,
I,J,,99,0,0,,,,
I,J,,99,0,10,,,,
J,I,,100,0,0,,,,
,,,100,0,-5,,,,
J,I,,100,0,-20,,,,
,,,75,1,0,,,,
J,C,,2,0,0,,1,construction,246
J,C,,132,0,0,,,,
J,C,,81,0,0,,,,
,,,16,0,0,180,,,
,,,245,0,-1,,,,
,,,12,0,-1,,,,
J,C,,241,0,0,,,,
J,K,,105,0,0,,,pedestrian,
,,,105,0,5,,,,
,,,105,0,10,,,,
K,J,,106,0,-20,,,pedestrian,
,,,106,0,-5,,,,
K,D,,168,0,0,,,,
K,D,,80,0,0,,,,
K,D,,76,-5,0,,,,
K,L,,92,0,0,,,pedestrian,
K,L,,233,0,0,,,,
,,,233,0,5,,,,
L,E,,43,0,0,,,,
L,E,,79,0,0,,,,
L,E,,32,0,0,,,,
L,K,,82,0,0,,,pedestrian,
L,K,,200,0,0,,,,
L,K,,200,0,-5,,,,
L,H,,125,0,0,,,truck,
L,H,,180,0,0,,,,
L,H,,188,0,0,,,,
