state,last_current_junc,destination_spawnpoint_index,delta_x,delta_y,if_autopilot_this_road
A1,"(F, A)",116,0,0,1
A2,"(B, A)",112,0,0,1
A3,"(E, A)",122,0,0,1
B1,"(A, B)",113,0,0,1
B2,"(G, B)",114,0,0,1
B3,"(C, B)",101,0,0,1
C1,"(B, C)",102,0,0,1
C2,"(J, C)",88,0,0,1
C3,"(D, C)",103,0,0,1
D1,"(C, D)",104,0,0,1
D2,"(K, D)",84,0,0,1
D3,"(E, D)",91,0,0,1
E1,"(A, E)",124,0,0,1
E2,"(D, E)",83,0,0,1
E3,"(L, E)",89,0,0,1
F1,"(A, F)",117,0,0,1
F2,"(G, F)",110,0,0,1
F3,"(H, F)",198,0,0,1
G1,"(B, G)",115,0,0,1
G2,"(F, G)",111,0,0,1
G3,"(I, G)",95,0,0,1
H1,"(F, H)",73,0,0,1
H2,"(I, H)",107,0,0,1
H3,"(L, H)",118,0,0,1
I1,"(H, I)",109,0,0,1
I2,"(G, I)",74,0,0,1
I3,"(J, I)",99,0,0,1
J1,"(I, J)",100,0,0,1
J2,"(C, J)",75,0,0,1
J3,"(K, J)",105,0,0,1
K1,"(J, K)",106,0,0,1
K2,"(D, K)",77,0,0,1
K3,"(L, K)",92,0,0,1
L1,"(E, L)",78,0,0,1
L2,"(K, L)",82,0,0,1
L3,"(H, L)",125,0,0,1
